GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb066570,Cytokinin response regulator1,TWO-COMPONENT RESPONSE REGULATOR ORR6 (PTHR43874:SF213),winged helix/forkhead transcription factor(PC00246),,phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736),
Zm00001eb305640,"PGR5-like protein 1A, chloroplastic","PGR5-LIKE PROTEIN 1B, CHLOROPLASTIC (PTHR31032:SF1)",,"oxidoreductase activity, acting on iron-sulfur proteins as donors(GO:0016730)",photosynthetic electron transport in photosystem I(GO:0009773),chloroplast thylakoid membrane(GO:0009535)
Zm00001eb042260,Trehalose 6-phosphate phosphatase,TREHALOSE-PHOSPHATE PHOSPHATASE 6-RELATED (PTHR43768:SF19),phosphatase(PC00181),,,
Zm00001eb212580,APRL5-Zea mays adenosine 5'-phosphosulfate reductase-like,5'-ADENYLYLSULFATE REDUCTASE-LIKE 5 (PTHR47126:SF3),reductase(PC00198),,,
Zm00001eb020730,Uncharacterized protein,,,,,
Zm00001eb052730,SHSP domain-containing protein,SHSP DOMAIN-CONTAINING PROTEIN (PTHR43670:SF64),chaperone(PC00072),,defense response(GO:0006952);cellular response to heat(GO:0034605),plasma membrane(GO:0005886)
Zm00001eb063410,Short-chain dehydrogenase reductase 3b,SHORT-CHAIN DEHYDROGENASE REDUCTASE 3B (PTHR42820:SF16),oxidoreductase(PC00176),,,
Zm00001eb096900,Cellulose synthase,CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 3 [UDP-FORMING]-RELATED (PTHR13301:SF152),DNA-binding transcription factor(PC00218),zinc ion binding(GO:0008270);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);cellulose synthase activity(GO:0016759);cellulose synthase (UDP-forming) activity(GO:0016760);metal ion binding(GO:0046872),plant-type primary cell wall biogenesis(GO:0009833);plant-type secondary cell wall biogenesis(GO:0009834);cellulose biosynthetic process(GO:0030244);cell wall organization(GO:0071555),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb154860,DUF4005 domain-containing protein,OS01G0716200 PROTEIN (PTHR32295:SF266),,,,
Zm00001eb074070,Coiled-coil domain-containing protein 124,COILED-COIL DOMAIN-CONTAINING PROTEIN 124 (PTHR21680:SF0),,transcription coactivator activity(GO:0003713),transcription by RNA polymerase II(GO:0006366);positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb271090,SGNH hydrolase-type esterase domain-containing protein,ISOAMYL ACETATE-HYDROLYZING ESTERASE 1 HOMOLOG (PTHR14209:SF19),esterase(PC00097),"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",,
Zm00001eb052440,Zinc transporter 10,FE(2+) TRANSPORT PROTEIN 1 (PTHR11040:SF220),secondary carrier transporter(PC00258),zinc ion transmembrane transporter activity(GO:0005385);metal ion transmembrane transporter activity(GO:0046873),transition metal ion transport(GO:0000041);monoatomic ion transport(GO:0006811);metal ion transport(GO:0030001);transmembrane transport(GO:0055085);zinc ion transmembrane transport(GO:0071577),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb272740,CUE domain-containing protein,,,ubiquitin binding(GO:0043130),,
Zm00001eb371240,non-specific serine_threonine protein kinase,NON-SPECIFIC SERINE_THREONINE PROTEIN KINASE (PTHR27001:SF66),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),signal transduction(GO:0007165),plasma membrane(GO:0005886)
Zm00001eb065390,TBC domain containing protein,RAB-GAP TBC DOMAIN-CONTAINING PROTEIN (PTHR22957:SF597),GTPase-activating protein(PC00257),GTPase activator activity(GO:0005096),,
Zm00001eb253530,Fcf2 pre-rRNA processing protein,DEOXYNUCLEOTIDYLTRANSFERASE TERMINAL-INTERACTING PROTEIN 2 (PTHR21686:SF12),,,RNA processing(GO:0006396),nucleolus(GO:0005730)
Zm00001eb114990,F-box_kelch-repeat protein SKIP11,"REPEAT-CONTAINING F-BOX FAMILY PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR46122:SF22)",oxidase(PC00175),,,nucleus(GO:0005634)
Zm00001eb331000,C2C2-Dof transcription factor (Fragment),CYCLIC DOF FACTOR 3 (PTHR31089:SF1),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb351150,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5,PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 (PTHR31165:SF59),,DNA binding(GO:0003677),mRNA transcription(GO:0009299);response to light stimulus(GO:0009416),nucleus(GO:0005634)
Zm00001eb076820,AFG1-like ATPase family protein,AFG1-LIKE ATPASE FAMILY PROTEIN (PTHR12169:SF29),,nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887),,cytoplasm(GO:0005737);mitochondrion(GO:0005739);chloroplast(GO:0009507)
Zm00001eb326020,GRAS transcription factor,PROTEIN SHORT-ROOT (PTHR31636:SF9),,DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355);asymmetric cell division(GO:0008356);radial pattern formation(GO:0009956);negative regulation of mitotic cell cycle(GO:0045930);leaf development(GO:0048366),nucleus(GO:0005634)
Zm00001eb419530,Expansin,EXPANSIN-A11 (PTHR31867:SF4),,,plant-type cell wall organization(GO:0009664);plant-type cell wall loosening(GO:0009828);cell wall organization(GO:0071555),extracellular region(GO:0005576);membrane(GO:0016020)
Zm00001eb007600,CUE domain-containing protein,ACTIVATING SIGNAL COINTEGRATOR 1 COMPLEX SUBUNIT 2 (PTHR21494:SF0),,ubiquitin binding(GO:0043130),,
Zm00001eb301140,Bifunctional inhibitor_lipid-transfer protein_seed storage 2S albumin superfamily protein,NON-SPECIFIC LIPID TRANSFER PROTEIN GPI-ANCHORED 16 (PTHR33044:SF142),,,,
Zm00001eb429220,L-ascorbate oxidase,OS04G0561900 PROTEIN (PTHR11709:SF387),oxidase(PC00175),copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491),,
Zm00001eb259950,VAMP protein SEC22,OS08G0102700 PROTEIN (PTHR31415:SF7),,,defense response to other organism(GO:0098542),plasma membrane(GO:0005886);plasmodesma(GO:0009506);membrane(GO:0016020)
Zm00001eb153660,Auxin-responsive protein,AUXIN-RESPONSIVE PROTEIN IAA26 (PTHR31734:SF2),,,regulation of DNA-templated transcription(GO:0006355);response to auxin(GO:0009733);auxin-activated signaling pathway(GO:0009734),nucleus(GO:0005634)
Zm00001eb007070,Cp protein,OS03G0210500 PROTEIN (PTHR31676:SF0),,,,
Zm00001eb020320,Membrane-anchored ubiquitin-fold protein,MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 2 (PTHR13169:SF26),ubiquitin-protein ligase(PC00234),,,plasma membrane(GO:0005886)
Zm00001eb256550,Replication factor C subunit 5,REPLICATION FACTOR C SUBUNIT 5 (PTHR11669:SF9),DNA-directed DNA polymerase(PC00018),nucleotide binding(GO:0000166);DNA binding(GO:0003677);DNA clamp loader activity(GO:0003689);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887),DNA replication(GO:0006260);DNA-templated DNA replication(GO:0006261);DNA repair(GO:0006281),nucleus(GO:0005634);DNA replication factor C complex(GO:0005663)
Zm00001eb418060,Glutathione S-transferase 4,GLUTATHIONE S-TRANSFERASE 4 (PTHR43900:SF17),transferase(PC00220),glutathione transferase activity(GO:0004364);transferase activity(GO:0016740);protein homodimerization activity(GO:0042803);glutathione binding(GO:0043295),glutathione metabolic process(GO:0006749);response to xenobiotic stimulus(GO:0009410);response to herbicide(GO:0009635),cytoplasm(GO:0005737);protein-containing complex(GO:0032991)
Zm00001eb196530,Cytochrome P450 90A1,"3BETA,22ALPHA-DIHYDROXYSTEROID 3-DEHYDROGENASE (PTHR24286:SF44)",oxygenase(PC00177),"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872);fatty acid 2-hydroxylase activity(GO:0080132)",brassinosteroid homeostasis(GO:0010268);brassinosteroid biosynthetic process(GO:0016132),membrane(GO:0016020)
Zm00001eb401240,Protein phosphatase,PROTEIN PHOSPHATASE 2C BIPP2C1-RELATED (PTHR12320:SF52),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),,
Zm00001eb243960,RING-H2 finger protein ATL3,E3 UBIQUITIN-PROTEIN LIGASE EL5 (PTHR22765:SF410),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),ubiquitin-dependent protein catabolic process(GO:0006511),membrane(GO:0016020)
Zm00001eb097180,Prohibitin,PROHIBITIN-2 (PTHR23222:SF1),,,mitochondrion organization(GO:0007005),mitochondrion(GO:0005739);mitochondrial inner membrane(GO:0005743);membrane(GO:0016020)
Zm00001eb213160,BTB_POZ and MATH domain-containing protein 4,"BTB_POZ DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR26379:SF291)",,,protein ubiquitination(GO:0016567);cellular response to salt stress(GO:0071472),
Zm00001eb076010,Uncharacterized protein,OS04G0686300 PROTEIN (PTHR47817:SF2),,,,
Zm00001eb315040,DNAJ heat shock N-terminal domain-containing protein,DNAJ HEAT SHOCK N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR21454:SF47),,iron ion binding(GO:0005506);metal ion binding(GO:0046872),protein histidyl modification to diphthamide(GO:0017183),nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);cytosol(GO:0005829)
Zm00001eb126630,Uncharacterized protein,OS01G0108000 PROTEIN (PTHR31149:SF18),,,,
Zm00001eb180720,Nudix hydrolase 13 mitochondrial,OS02G0520100 PROTEIN (PTHR12629:SF77),phosphatase(PC00181),,,
Zm00001eb289000,Solute carrier family 35 member F1,OS05G0444300 PROTEIN (PTHR14233:SF18),,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb402780,Uncharacterized protein,EXPRESSED PROTEIN (PTHR33318:SF30),RNA processing factor(PC00147),,male meiosis II(GO:0007142),
Zm00001eb156040,DNA-binding protein RAV1,DNA-BINDING PROTEIN RAV1 (PTHR31140:SF155),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb163460,Major facilitator superfamily (MFS) profile domain-containing protein,OS12G0133000 PROTEIN (PTHR23504:SF28),secondary carrier transporter(PC00258),transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb075580,Transmembrane ascorbate ferrireductase 1,ASCORBATE-SPECIFIC TRANSMEMBRANE ELECTRON TRANSPORTER 2-RELATED (PTHR10106:SF17),reductase(PC00198),,,
Zm00001eb409080,"3'(2'),5'-bisphosphate nucleotidase","3'(2'),5'-BISPHOSPHATE NUCLEOTIDASE (PTHR43200:SF6)",phosphatase(PC00181),"3'(2'),5'-bisphosphate nucleotidase activity(GO:0008441);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)",sulfate assimilation(GO:0000103);sulfur compound metabolic process(GO:0006790);phosphatidylinositol phosphate biosynthetic process(GO:0046854),
Zm00001eb197410,"Ribulose bisphosphate carboxylase small subunit, chloroplastic","RIBULOSE BISPHOSPHATE CARBOXYLASE SMALL SUBUNIT 1A, CHLOROPLASTIC-RELATED (PTHR31262:SF10)",,ribulose-bisphosphate carboxylase activity(GO:0016984),photorespiration(GO:0009853);carbon fixation(GO:0015977);photosynthesis(GO:0015979);reductive pentose-phosphate cycle(GO:0019253),chloroplast(GO:0009507)
Zm00001eb226300,Uncharacterized protein,OS06G0694400 PROTEIN (PTHR33167:SF61),,,,
Zm00001eb293420,Putative WRKY DNA-binding domain superfamily protein,WRKY DNA-BINDING DOMAIN SUPERFAMILY PROTEIN-RELATED (PTHR31221:SF379),DNA-binding transcription factor(PC00218),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb209070,BZIP transcription factor,OS02G0132500 PROTEIN (PTHR45764:SF76),DNA-binding transcription factor(PC00218),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein heterodimerization activity(GO:0046982),regulation of DNA-templated transcription(GO:0006355);positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb211050,Protein DETOXIFICATION,PROTEIN DETOXIFICATION 54 (PTHR11206:SF468),transporter(PC00227),antiporter activity(GO:0015297);transmembrane transporter activity(GO:0022857);xenobiotic transmembrane transporter activity(GO:0042910),transmembrane transport(GO:0055085);xenobiotic detoxification by transmembrane export across the plasma membrane(GO:1990961),membrane(GO:0016020)
Zm00001eb220790,Membrane steroid-binding protein 1,MEMBRANE STEROID-BINDING PROTEIN 2 (PTHR10281:SF113),transmembrane signal receptor(PC00197),steroid binding(GO:0005496);lipid binding(GO:0008289),,endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb365010,BZIP transcription factor superfamily protein,PROTEIN BLISTER (PTHR47490:SF2),,,regulation of DNA-templated transcription(GO:0006355);regulation of growth(GO:0040008),nucleus(GO:0005634)
Zm00001eb163160,SIZ1c protein,E3 SUMO-PROTEIN LIGASE SIZ2 (PTHR10782:SF42),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);SUMO ligase activity(GO:0061665),protein sumoylation(GO:0016925),chromatin(GO:0000785);nucleus(GO:0005634)
Zm00001eb368030,Ribosomal protein L17 family protein,LARGE RIBOSOMAL SUBUNIT PROTEIN BL17M (PTHR14413:SF16),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735),translation(GO:0006412),ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb214130,Uncharacterized protein,"PEPTIDASE I, PUTATIVE-RELATED (PTHR34454:SF3)",,,,
Zm00001eb008660,GDP-mannose transporter GONST3,GDP-MANNOSE TRANSPORTER GONST3 (PTHR11132:SF270),secondary carrier transporter(PC00258),nucleotide-sugar transmembrane transporter activity(GO:0005338);antiporter activity(GO:0015297),nucleotide-sugar transmembrane transport(GO:0015780),Golgi apparatus(GO:0005794);membrane(GO:0016020)
Zm00001eb106770,Protein kinase superfamily protein,OS07G0558000 PROTEIN (PTHR45890:SF7),,kinase activity(GO:0016301),,
Zm00001eb300140,Protein TIFY,PROTEIN TIFY 5B (PTHR33077:SF17),,,response to wounding(GO:0009611);regulation of defense response(GO:0031347);regulation of jasmonic acid mediated signaling pathway(GO:2000022),nucleus(GO:0005634)
Zm00001eb071740,Nucleic acid binding protein,2-OXOGLUTARATE AND FE-DEPENDENT OXYGENASE FAMILY PROTEIN (PTHR12463:SF1),oxygenase(PC00177),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);oxidoreductase activity(GO:0016491);demethylase activity(GO:0032451),demethylation(GO:0070988),
Zm00001eb379070,Uncharacterized protein,CELLULOSE SYNTHASE-LIKE PROTEIN D3 (PTHR13301:SF58),DNA-binding transcription factor(PC00218),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);cellulose synthase (UDP-forming) activity(GO:0016760);mannan synthase activity(GO:0051753),response to cold(GO:0009409);plant-type primary cell wall biogenesis(GO:0009833);cellulose biosynthetic process(GO:0030244);cell wall organization(GO:0071555);plant-type cell wall organization or biogenesis(GO:0071669),Golgi membrane(GO:0000139);cytoplasm(GO:0005737);plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb051090,E3 ubiquitin protein ligase DRIP2,OS03G0632800 PROTEIN (PTHR46293:SF1),ubiquitin-protein ligase(PC00234),ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),,
Zm00001eb010110,"Type I inositol-1,4,5-trisphosphate 5-phosphatase CVP2",TYPE IV INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 9 (PTHR45666:SF18),phosphatase(PC00181),"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity(GO:0004439);inositol-polyphosphate 5-phosphatase activity(GO:0004445);hydrolase activity(GO:0016787);phosphatase activity(GO:0016791);phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity(GO:0034485)",phosphatidylinositol dephosphorylation(GO:0046856),
Zm00001eb371800,Salicylate_benzoate carboxyl methyltransferase,ANTHRANILATE O-METHYLTRANSFERASE 3 (PTHR31009:SF133),methyltransferase(PC00155),methyltransferase activity(GO:0008168);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);transferase activity(GO:0016740);metal ion binding(GO:0046872),methylation(GO:0032259),
Zm00001eb080570,14-3-3-like protein GF14-6,14-3-3-LIKE PROTEIN GF14 NU-RELATED (PTHR18860:SF169),scaffold/adaptor protein(PC00226),DNA binding(GO:0003677);calcium ion binding(GO:0005509);protein binding(GO:0005515);protein kinase C inhibitor activity(GO:0008426);protein-containing complex binding(GO:0044877),signal transduction(GO:0007165);intracellular protein localization(GO:0008104);regulation of gene expression(GO:0010468),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb255090,Aspartic proteinase-like protein 1,ASPARTIC PROTEINASE-LIKE PROTEIN 1 (PTHR13683:SF743),aspartic protease(PC00053),aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),plasma membrane(GO:0005886)
Zm00001eb283020,Gibberellin 3-oxidase1,GIBBERELLIN 3-BETA-DIOXYGENASE 1 (PTHR47990:SF105),oxygenase(PC00177),oxidoreductase activity(GO:0016491);gibberellin 3-beta-dioxygenase activity(GO:0016707);metal ion binding(GO:0046872);dioxygenase activity(GO:0051213),response to light stimulus(GO:0009416);gibberellin biosynthetic process(GO:0009686),
Zm00001eb053840,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG4-RELATED (PTHR31223:SF51),,hydrolase activity(GO:0016787);lyase activity(GO:0016829);cytokinin riboside 5'-monophosphate phosphoribohydrolase activity(GO:0102682),cytokinin biosynthetic process(GO:0009691),nucleus(GO:0005634);cytosol(GO:0005829)
